
[34m[1mwandb[39m[22m: [33mWARNING[39m Calling wandb.run.save without any arguments is deprecated.Changes to attributes are automatically persisted.
Episode: 1, Reward: 0.9189999999999996
Episode: 2, Reward: 0.169
Episode: 3, Reward: 4.157
Episode: 4, Reward: 4.884999999999999
Episode: 5, Reward: 0.169
Episode: 6, Reward: 1.6300000000000003
Episode: 7, Reward: 3.5340000000000007
Episode: 8, Reward: 2.327
Episode: 9, Reward: 0.169
Episode: 10, Reward: 0.169
Episode: 11, Reward: 0.169
Episode: 12, Reward: 0.6489999999999998
Episode: 13, Reward: 0.169
Episode: 14, Reward: 2.535
Episode: 15, Reward: 3.6430000000000002
Episode: 16, Reward: 0.169
Episode: 17, Reward: 6.211999999999997
Episode: 18, Reward: 2.873
Episode: 19, Reward: 0.5899999999999999
Episode: 20, Reward: 0.009000000000000001
Episode: 21, Reward: 3.4810000000000008
Episode: 22, Reward: 1.1480000000000001
Episode: 23, Reward: 2.1460000000000004
Episode: 24, Reward: 0.911
Episode: 25, Reward: 0.5899999999999999
Episode: 26, Reward: 2.8220000000000005
Episode: 27, Reward: 0.6319999999999999
Episode: 28, Reward: 0.169
Episode: 29, Reward: 3.0070000000000006
Episode: 30, Reward: 3.313
Episode: 31, Reward: 2.357
Episode: 32, Reward: 2.6360000000000006
Episode: 33, Reward: 5.8509999999999955
Episode: 34, Reward: 2.030999999999999
