
[34m[1mwandb[39m[22m: [33mWARNING[39m Calling wandb.run.save without any arguments is deprecated.Changes to attributes are automatically persisted.
Episode: 1, Reward: 58.98699999999993
Episode: 2, Reward: 29.621000000000056
Episode: 3, Reward: 45.84999999999999
Episode: 4, Reward: 59.180999999999884
move_group.go EXCEPT,  [0.5142230820885163, 0.6172268884934402, -0.6049624429273415, 0, 0, 0]
Episode: 5, Reward: 44.505999999999936
Episode: 6, Reward: 44.36999999999977
Episode: 7, Reward: 216.79100000000093
Episode: 8, Reward: 59.87999999999993
Episode: 9, Reward: 26.666000000000036
move_group.go EXCEPT,  [-0.31215993090154454, 0.6290301210258229, -0.1286829751711794, 0, 0, 0]
Episode: 10, Reward: 48.292
Episode: 11, Reward: 56.285000000000025
Episode: 12, Reward: 34.631999999999984
Episode: 13, Reward: 35.38399999999997
Episode: 14, Reward: 28.118000000000038
Episode: 15, Reward: 29.31600000000006
Episode: 16, Reward: 58.09599999999999
Episode: 17, Reward: 36.686999999999905
Episode: 18, Reward: 48.21099999999986
Episode: 19, Reward: 25.66400000000004
Episode: 20, Reward: 37.11399999999986
Episode: 21, Reward: 56.412999999999954
Episode: 22, Reward: 58.57799999999993
