
[34m[1mwandb[39m[22m: [33mWARNING[39m Calling wandb.run.save without any arguments is deprecated.Changes to attributes are automatically persisted.
Episode: 1, Reward: 60.19499999999996
Episode: 2, Reward: 61.398
Episode: 3, Reward: 57.38500000000001
Episode: 4, Reward: 20.88100000000002
Episode: 5, Reward: 32.34600000000002
Episode: 6, Reward: 51.49499999999992
Episode: 7, Reward: 61.48999999999999
Episode: 8, Reward: 56.99399999999998
Episode: 9, Reward: 58.193
Episode: 10, Reward: 56.37899999999998
Episode: 11, Reward: 56.37899999999997
move_group.go EXCEPT,  [-0.6240207883208623, 0.6109255993726111, -0.16879158708972275, 0, 0, 0]
Episode: 12, Reward: 27.107
Episode: 13, Reward: 51.78599999999988
Episode: 14, Reward: 63.39099999999994
Episode: 15, Reward: 55.07399999999997
Episode: 16, Reward: 57.68899999999999
Episode: 17, Reward: 89.93399999999976
Episode: 18, Reward: 28.97200000000005
Episode: 19, Reward: 29.12000000000004
Episode: 20, Reward: 21.816000000000003
Episode: 21, Reward: 23.37600000000001
Episode: 22, Reward: 13.417000000000009
Episode: 23, Reward: 51.12199999999999
