
[34m[1mwandb[39m[22m: [33mWARNING[39m Calling wandb.run.save without any arguments is deprecated.Changes to attributes are automatically persisted.
<moveit_commander.robot.RobotCommander object at 0x7f6fb6436910>
Episode: 1, Reward: 302.2870000000004
Episode: 2, Reward: 55.66200000000002
Episode: 3, Reward: 39.585999999999935
Episode: 4, Reward: 62.89899999999999
Episode: 5, Reward: 56.984999999999935
Episode: 6, Reward: 55.825999999999986
Episode: 7, Reward: 40.86299999999992
Episode: 8, Reward: 55.981999999999935
Episode: 9, Reward: 57.092000000000006
Episode: 10, Reward: 61.78099999999996
Episode: 11, Reward: 58.19199999999998
Episode: 12, Reward: 58.39700000000002
Episode: 13, Reward: 27.41800000000003
Episode: 14, Reward: 29.317000000000064
