
[34m[1mwandb[39m[22m: [33mWARNING[39m Calling wandb.run.save without any arguments is deprecated.Changes to attributes are automatically persisted.
<moveit_commander.robot.RobotCommander object at 0x7ff5a57ae070>
Episode: 1, Reward: 60.99099999999992
Episode: 2, Reward: 59.595999999999954
Episode: 3, Reward: 48.521999999999736
Episode: 4, Reward: 58.29900000000001
move_group.go EXCEPT,  [-0.037187991252492905, 0.619637040562639, -0.3425778601313158, 0, 0, 0]
Episode: 5, Reward: 28.226
Episode: 6, Reward: 18.156999999999993
Episode: 7, Reward: 17.418
Episode: 8, Reward: 18.066999999999997
Episode: 9, Reward: 61.992999999999995
Episode: 10, Reward: 56.786000000000016
Episode: 11, Reward: 57.38299999999998
Episode: 12, Reward: 21.895000000000017
Episode: 13, Reward: 21.019999999999985
Episode: 14, Reward: 27.494000000000046
Episode: 15, Reward: 7.605000000000012
Episode: 16, Reward: 17.55900000000001
